Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2018-2019,Cobalt-MattesIntermediates,75011000,Import,U ARAB EMTS,0.0,100.0
2018-2019,Cobalt-MattesIntermediates,75011000,Import,U S A,0.0,23.0
2019-2020,Cobalt-MattesIntermediates,75011000,Import,U ARAB EMTS,,
2019-2020,Cobalt-MattesIntermediates,75011000,Import,U S A,0.0,3.0
2020-2021,Cobalt-MattesIntermediates,75011000,Import,U K,0.01,100.0
2020-2021,Cobalt-MattesIntermediates,75011000,Import,U S A,0.0,
2021-2022,Cobalt-MattesIntermediates,75011000,Import,U K,0.0,50.0
2021-2022,Cobalt-MattesIntermediates,75011000,Import,U S A,0.0,3.0
2022-2023,Cobalt-MattesIntermediates,75011000,Import,CHINA P RP,0.0,75.0
2022-2023,Cobalt-MattesIntermediates,75011000,Import,U K,0.0,25.0
2022-2023,Cobalt-MattesIntermediates,75011000,Import,U S A,,
2023-2024,Cobalt-MattesIntermediates,75011000,Import,CHINA P RP,,
2023-2024,Cobalt-MattesIntermediates,75011000,Import,SINGAPORE,0.0,1.0
2023-2024,Cobalt-MattesIntermediates,75011000,Import,U K,,
2024-2025,Cobalt-MattesIntermediates,75011000,Import,SINGAPORE,,
